,,0
Venture Capital,Startups,0.79621386631037
Housing,Cost of Living,0.7945760639676263
Business Freedom,Education,0.7579546457944075
Business Freedom,Environmental Quality,0.7060700840080882
Healthcare,Business Freedom,0.6368989181562583
Business Freedom,Economy,0.6334381856419471
Healthcare,Education,0.6057454358496956
Environmental Quality,Education,0.6017328640169881
Internet Access,Education,0.5309634596445729
Education,Venture Capital,0.5241504613963055
Tolerance,Environmental Quality,0.5195639369959331
Internet Access,Business Freedom,0.5188089940285724
Healthcare,Environmental Quality,0.5169842519031567
Economy,Education,0.5131912826204336
Environmental Quality,Internet Access,0.49194986077683567
Travel Connectivity,Education,0.46793896677472024
Tolerance,Healthcare,0.4622396143753644
Leisure & Culture,Startups,0.44696792829005805
Travel Connectivity,Healthcare,0.42059905265136716
Economy,Environmental Quality,0.41554486230646914
Healthcare,Commute,0.37843278702828503
Education,Startups,0.3762387458708957
Tolerance,Safety,0.3743096699464354
Economy,Venture Capital,0.3731936204949523
Economy,Internet Access,0.3729447954555315
Venture Capital,Travel Connectivity,0.3684308125417684
Business Freedom,Tolerance,0.3621651532785193
Startups,Economy,0.34231061315334627
Travel Connectivity,Commute,0.3351162970576628
Venture Capital,Leisure & Culture,0.3320037882478389
Travel Connectivity,Leisure & Culture,0.31203937346747856
Internet Access,Healthcare,0.3024186434169101
Commute,Education,0.297148244067527
Outdoors,Leisure & Culture,0.2968385013219442
Safety,Taxation,0.29070179630605625
Tolerance,Education,0.29047533308679163
Healthcare,Safety,0.2837744620459097
Travel Connectivity,Startups,0.2761682072740084
Venture Capital,Outdoors,0.26930056707894007
Internet Access,Venture Capital,0.2663087445503807
Travel Connectivity,Business Freedom,0.26255777577481
Safety,Travel Connectivity,0.26088166867257256
Cost of Living,Commute,0.25875503340895845
Startups,Outdoors,0.2538485386792164
Business Freedom,Venture Capital,0.2504294002412213
Business Freedom,Commute,0.24928114572905857
Safety,Commute,0.24737627108808358
Leisure & Culture,Education,0.2463933307504015
Travel Connectivity,Internet Access,0.23323948412004175
Business Freedom,Startups,0.21570233236491157
Tolerance,Internet Access,0.21451182617210382
Commute,Leisure & Culture,0.20470103656774452
Startups,Internet Access,0.19321226499631042
Leisure & Culture,Cost of Living,0.1847457666183201
Commute,Environmental Quality,0.1804364768915506
Commute,Tolerance,0.17878173647873705
Commute,Housing,0.17600431236271785
Education,Outdoors,0.16534771642644427
Healthcare,Economy,0.1585725174143778
Internet Access,Commute,0.13997551023003413
Environmental Quality,Safety,0.1390698044839472
Travel Connectivity,Outdoors,0.13778425448020154
Travel Connectivity,Environmental Quality,0.10837193689219717
Commute,Outdoors,0.10695890912987731
Venture Capital,Environmental Quality,0.10303321397566714
Environmental Quality,Outdoors,0.10269103962851944
Venture Capital,Commute,0.0971332401902337
Leisure & Culture,Healthcare,0.09224180876131292
Economy,Taxation,0.08981669594068423
Taxation,Commute,0.08815049635637753
Outdoors,Business Freedom,0.08117198104698323
Leisure & Culture,Internet Access,0.07914447015240811
Startups,Commute,0.0748959260907869
Safety,Education,0.06328458380399747
Business Freedom,Leisure & Culture,0.054771773262827714
Outdoors,Tolerance,0.05221350908322788
Cost of Living,Taxation,0.0506106267014299
Tolerance,Economy,0.04930535534331418
Safety,Outdoors,0.042888218620762565
Economy,Travel Connectivity,0.03898348465306446
Outdoors,Healthcare,0.038525905004562835
Healthcare,Venture Capital,0.032858451750154394
Tolerance,Taxation,0.027594166767388368
Startups,Cost of Living,0.024625438738856933
Business Freedom,Taxation,0.022459373288603673
Travel Connectivity,Tolerance,0.01828692525176051
Safety,Housing,0.011743825756372964
Startups,Environmental Quality,0.009754348405020702
